Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             12460    43.47%         294                43    85.37%       13911              4391    68.44%       11310              5793    48.78%
lib/Backend/GlobOpt.h                                                       215               108    49.77%          50                 8    84.00%         130                17    86.92%          52                36    30.77%
lib/Backend/GlobOptArrays.cpp                                              2828              1528    45.97%          19                 0   100.00%        1599               247    84.55%        1276               615    51.80%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1228    48.38%          36                 3    91.67%        1303               164    87.41%         996               433    56.53%
lib/Backend/GlobOptBlockData.cpp                                           1708               846    50.47%          49                 6    87.76%        1309               305    76.70%         716               326    54.47%
lib/Backend/GlobOptBlockData.h                                              110                52    52.73%          20                 2    90.00%          69                10    85.51%          28                16    42.86%
lib/Backend/GlobOptExpr.cpp                                                 711               402    43.46%          11                 2    81.82%         730               306    58.08%         522               233    55.36%
lib/Backend/GlobOptFields.cpp                                              2603              1297    50.17%          59                 9    84.75%        1632               388    76.23%        1308               546    58.26%
lib/Backend/GlobOptIntBounds.cpp                                           6030              4139    31.36%          40                 8    80.00%        2576              1160    54.97%        2168              1531    29.38%
lib/Backend/GlobOptIntBounds.h                                              852               628    26.29%          42                17    59.52%         167                67    59.88%         210               165    21.43%
lib/Backend/IR.cpp                                                         4642              3146    32.23%         223                70    68.61%        3396              1689    50.27%        2186              1422    34.95%
lib/Backend/IR.h                                                            309               189    38.83%          41                10    75.61%         237                97    59.07%          96                61    36.46%
lib/Backend/IR.inl                                                          639               410    35.84%          63                11    82.54%         313                76    75.72%         198               114    42.42%
lib/Backend/IRBuilder.cpp                                                  8933              5995    32.89%         198                56    71.72%        5750              2003    65.17%        3626              1976    45.50%
lib/Backend/IRBuilder.h                                                     151                85    43.71%          14                 1    92.86%          53                 3    94.34%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                64    20.00%          12                 4    66.67%          48                32    33.33%          32                17    46.88%
lib/Backend/InductionVariable.cpp                                           347               237    31.70%          13                 1    92.31%         134                70    47.76%         136               108    20.59%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              3913    31.30%          90                31    65.56%        4658              2292    50.79%        2558              1686    34.09%
lib/Backend/Inline.h                                                          6                 2    66.67%           4                 2    50.00%           4                 2    50.00%           4                 0   100.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               250    44.93%          19                 4    78.95%         390               112    71.28%         194               114    41.24%
lib/Backend/InlineeFrameInfo.h                                              108                43    60.19%          13                 1    92.31%          62                11    82.26%          24                14    41.67%
lib/Backend/InliningDecider.cpp                                            1127               517    54.13%          21                 0   100.00%         689               156    77.36%         582               253    56.53%
lib/Backend/InliningDecider.h                                                18                 2    88.89%           8                 0   100.00%          21                 3    85.71%          10                 4    60.00%
lib/Backend/InliningHeuristics.cpp                                          145                37    74.48%           5                 0   100.00%         125                22    82.40%          72                26    63.89%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 3    62.50%
lib/Backend/IntBounds.cpp                                                  1138               596    47.63%          50                 3    94.00%         566                89    84.28%         444               219    50.68%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                43    17.31%           9                 6    33.33%          50                34    32.00%          44                34    22.73%
lib/Backend/IntConstantBounds.h                                              35                14    60.00%          11                 2    81.82%          44                11    75.00%          12                 6    50.00%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                48    44.83%           9                 0   100.00%          30                 0   100.00%          16                12    25.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               204    43.18%          22                 1    95.45%         264                26    90.15%         104                61    41.35%
lib/Backend/InterpreterThunkEmitter.h                                        41                25    39.02%           6                 1    83.33%          11                 3    72.73%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                59    50.42%          28                 9    67.86%         128                35    72.66%          26                16    38.46%
lib/Backend/JITRecyclableObject.h                                            68                41    39.71%          10                 4    60.00%          42                19    54.76%          14                10    28.57%
lib/Backend/JITTimeConstructorCache.cpp                                     144                94    34.72%          18                 3    83.33%          86                15    82.56%          28                22    21.43%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               783    34.04%         123                31    74.80%         753               215    71.45%         310               213    31.29%
