Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             17684    19.77%         294               118    59.86%       13911              9766    29.80%       11310              9032    20.14%
lib/Backend/GlobOpt.h                                                       215               126    41.40%          50                15    70.00%         130                36    72.31%          52                39    25.00%
lib/Backend/GlobOptArrays.cpp                                              2828              2337    17.36%          19                 4    78.95%        1599              1123    29.77%        1276              1071    16.07%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1641    31.02%          36                11    69.44%        1303               648    50.27%         996               665    33.23%
lib/Backend/GlobOptBlockData.cpp                                           1708              1195    30.04%          49                18    63.27%        1309               690    47.29%         716               553    22.77%
lib/Backend/GlobOptBlockData.h                                              110                55    50.00%          20                 4    80.00%          69                15    78.26%          28                17    39.29%
lib/Backend/GlobOptExpr.cpp                                                 711               510    28.27%          11                 2    81.82%         730               455    37.67%         522               334    36.02%
lib/Backend/GlobOptFields.cpp                                              2603              1938    25.55%          59                21    64.41%        1632              1028    37.01%        1308              1005    23.17%
lib/Backend/GlobOptIntBounds.cpp                                           6030              5203    13.71%          40                21    47.50%        2576              2104    18.32%        2168              1949    10.10%
lib/Backend/GlobOptIntBounds.h                                              852               718    15.73%          42                29    30.95%         167               114    31.74%         210               188    10.48%
lib/Backend/IR.cpp                                                         4642              3649    21.39%         223               107    52.02%        3396              2234    34.22%        2186              1736    20.59%
lib/Backend/IR.h                                                            309               230    25.57%          41                21    48.78%         237               157    33.76%          96                77    19.79%
lib/Backend/IR.inl                                                          639               452    29.26%          63                14    77.78%         313               109    65.18%         198               132    33.33%
lib/Backend/IRBuilder.cpp                                                  8933              7706    13.74%         198               122    38.38%        5750              4356    24.24%        3626              2848    21.46%
lib/Backend/IRBuilder.h                                                     151                86    43.05%          14                 2    85.71%          53                 4    92.45%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                66    17.50%          12                 6    50.00%          48                34    29.17%          32                19    40.62%
lib/Backend/InductionVariable.cpp                                           347               290    16.43%          13                 5    61.54%         134               102    23.88%         136               126     7.35%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              5218     8.39%          90                75    16.67%        4658              4167    10.54%        2558              2351     8.09%
lib/Backend/Inline.h                                                          6                 5    16.67%           4                 3    25.00%           4                 3    25.00%           4                 4     0.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               442     2.64%          19                17    10.53%         390               377     3.33%         194               192     1.03%
lib/Backend/InlineeFrameInfo.h                                              108               108     0.00%          13                13     0.00%          62                62     0.00%          24                24     0.00%
