Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOptExpr.cpp                                                 711               372    47.68%          11                 2    81.82%         730               267    63.42%         522               213    59.20%
lib/Backend/GlobOptFields.cpp                                              2603              1307    49.79%          59                 9    84.75%        1632               393    75.92%        1308               561    57.11%
lib/Backend/GlobOptIntBounds.cpp                                           6030              4046    32.90%          40                 9    77.50%        2576              1051    59.20%        2168              1478    31.83%
lib/Backend/GlobOptIntBounds.h                                              852               621    27.11%          42                16    61.90%         167                64    61.68%         210               163    22.38%
lib/Backend/IR.cpp                                                         4642              3110    33.00%         223                68    69.51%        3396              1612    52.53%        2186              1357    37.92%
lib/Backend/IR.h                                                            309               189    38.83%          41                11    73.17%         237                94    60.34%          96                61    36.46%
lib/Backend/IR.inl                                                          639               410    35.84%          63                11    82.54%         313                76    75.72%         198               114    42.42%
lib/Backend/IRBuilder.cpp                                                  8933              6013    32.69%         198                55    72.22%        5750              2046    64.42%        3626              2023    44.21%
lib/Backend/IRBuilder.h                                                     151                84    44.37%          14                 0   100.00%          53                 0   100.00%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315              9244    10.38%         299               272     9.03%        4833              4367     9.64%        3720              2887    22.39%
lib/Backend/IRBuilderAsmJs.h                                                188               174     7.45%          23                16    30.43%          58                41    29.31%          44                43     2.27%
lib/Backend/IRType.cpp                                                       80                64    20.00%          12                 4    66.67%          48                32    33.33%          32                17    46.88%
lib/Backend/InductionVariable.cpp                                           347               198    42.94%          13                 0   100.00%         134                47    64.93%         136                89    34.56%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              3612    36.59%          90                26    71.11%        4658              1848    60.33%        2558              1513    40.85%
lib/Backend/Inline.h                                                          6                 2    66.67%           4                 2    50.00%           4                 2    50.00%           4                 0   100.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               240    47.14%          19                 4    78.95%         390                90    76.92%         194               104    46.39%
lib/Backend/InlineeFrameInfo.h                                              108                43    60.19%          13                 1    92.31%          62                11    82.26%          24                14    41.67%
lib/Backend/InliningDecider.cpp                                            1127               523    53.59%          21                 0   100.00%         689               156    77.36%         582               250    57.04%
lib/Backend/InliningDecider.h                                                18                 2    88.89%           8                 0   100.00%          21                 3    85.71%          10                 3    70.00%
lib/Backend/InliningHeuristics.cpp                                          145                46    68.28%           5                 0   100.00%         125                32    74.40%          72                29    59.72%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 2    75.00%
lib/Backend/IntBounds.cpp                                                  1138               628    44.82%          50                 5    90.00%         566               116    79.51%         444               222    50.00%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                32    38.46%           9                 3    66.67%          50                20    60.00%          44                28    36.36%
lib/Backend/IntConstantBounds.h                                              35                14    60.00%          11                 2    81.82%          44                11    75.00%          12                 5    58.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                48    44.83%           9                 0   100.00%          30                 0   100.00%          16                12    25.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               264    26.46%          22                11    50.00%         264                94    64.39%         104                80    23.08%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                59    50.42%          28                 9    67.86%         128                35    72.66%          26                16    38.46%
lib/Backend/JITRecyclableObject.h                                            68                41    39.71%          10                 4    60.00%          42                19    54.76%          14                10    28.57%
lib/Backend/JITTimeConstructorCache.cpp                                     144               114    20.83%          18                 6    66.67%          86                36    58.14%          28                24    14.29%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               748    36.98%         123                28    77.24%         753               182    75.83%         310               201    35.16%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 3    50.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                40    56.04%           6                 1    83.33%          67                 6    91.04%          26                10    61.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               265    55.91%          63                 6    90.48%         422                27    93.60%         192                93    51.56%
lib/Backend/JITTimeWorkItem.cpp                                             257               175    31.91%          20                 1    95.00%         112                19    83.04%          74                53    28.38%
lib/Backend/JITType.cpp                                                      60                20    66.67%          20                 3    85.00%          88                11    87.50%          28                13    53.57%
lib/Backend/JITType.h                                                         2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                30    44.44%           9                 1    88.89%          39                 7    82.05%          18                12    33.33%
lib/Backend/JavascriptNativeOperators.cpp                                   446               280    37.22%          27                16    40.74%         327               184    43.73%         152                91    40.13%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                43    47.56%           5                 1    80.00%          88                35    60.23%          40                23    42.50%
