Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             11790    46.51%         294                35    88.10%       13911              3629    73.91%       11310              5307    53.08%
lib/Backend/GlobOpt.h                                                       215               105    51.16%          50                 6    88.00%         130                15    88.46%          52                32    38.46%
lib/Backend/GlobOptArrays.cpp                                              2828              1518    46.32%          19                 0   100.00%        1599               211    86.80%        1276               607    52.43%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1205    49.35%          36                 3    91.67%        1303               149    88.56%         996               408    59.04%
lib/Backend/GlobOptBlockData.cpp                                           1708               689    59.66%          49                 4    91.84%        1309               175    86.63%         716               260    63.69%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                14    50.00%
lib/Backend/GlobOptExpr.cpp                                                 711               329    53.73%          11                 2    81.82%         730               225    69.18%         522               179    65.71%
lib/Backend/GlobOptFields.cpp                                              2603              1252    51.90%          59                 9    84.75%        1632               292    82.11%        1308               504    61.47%
lib/Backend/GlobOptIntBounds.cpp                                           6030              3938    34.69%          40                 7    82.50%        2576               905    64.87%        2168              1418    34.59%
lib/Backend/GlobOptIntBounds.h                                              852               616    27.70%          42                16    61.90%         167                64    61.68%         210               155    26.19%
lib/Backend/IR.cpp                                                         4642              3029    34.75%         223                62    72.20%        3396              1578    53.53%        2186              1344    38.52%
lib/Backend/IR.h                                                            309               161    47.90%          41                 2    95.12%         237                38    83.97%          96                50    47.92%
lib/Backend/IR.inl                                                          639               364    43.04%          63                 4    93.65%         313                24    92.33%         198                99    50.00%
lib/Backend/IRBuilder.cpp                                                  8933              5693    36.27%         198                37    81.31%        5750              1592    72.31%        3626              1845    49.12%
lib/Backend/IRBuilder.h                                                     151                84    44.37%          14                 0   100.00%          53                 0   100.00%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                64    20.00%          12                 4    66.67%          48                32    33.33%          32                17    46.88%
lib/Backend/InductionVariable.cpp                                           347               191    44.96%          13                 0   100.00%         134                40    70.15%         136                85    37.50%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              3102    45.54%          90                11    87.78%        4658              1365    70.70%        2558              1306    48.94%
lib/Backend/Inline.h                                                          6                 1    83.33%           4                 1    75.00%           4                 1    75.00%           4                 0   100.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               239    47.36%          19                 4    78.95%         390                87    77.69%         194               103    46.91%
lib/Backend/InlineeFrameInfo.h                                              108                43    60.19%          13                 1    92.31%          62                11    82.26%          24                14    41.67%
lib/Backend/InliningDecider.cpp                                            1127               529    53.06%          21                 0   100.00%         689               170    75.33%         582               263    54.81%
lib/Backend/InliningDecider.h                                                18                 2    88.89%           8                 0   100.00%          21                 3    85.71%          10                 2    80.00%
lib/Backend/InliningHeuristics.cpp                                          145                36    75.17%           5                 0   100.00%         125                19    84.80%          72                25    65.28%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 3    62.50%
lib/Backend/IntBounds.cpp                                                  1138               550    51.67%          50                 1    98.00%         566                44    92.23%         444               185    58.33%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                32    38.46%           9                 3    66.67%          50                20    60.00%          44                29    34.09%
lib/Backend/IntConstantBounds.h                                              35                14    60.00%          11                 2    81.82%          44                11    75.00%          12                 5    58.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                48    44.83%           9                 0   100.00%          30                 0   100.00%          16                12    25.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               264    26.46%          22                11    50.00%         264                94    64.39%         104                80    23.08%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                59    50.42%          28                 9    67.86%         128                35    72.66%          26                16    38.46%
lib/Backend/JITRecyclableObject.h                                            68                39    42.65%          10                 2    80.00%          42                13    69.05%          14                10    28.57%
lib/Backend/JITTimeConstructorCache.cpp                                     144                79    45.14%          18                 1    94.44%          86                 4    95.35%          28                19    32.14%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               759    36.06%         123                28    77.24%         753               198    73.71%         310               202    34.84%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 3    50.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                40    56.04%           6                 1    83.33%          67                 6    91.04%          26                10    61.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               249    58.57%          63                 4    93.65%         422                20    95.26%         192                84    56.25%
lib/Backend/JITTimeWorkItem.cpp                                             257               175    31.91%          20                 1    95.00%         112                19    83.04%          74                53    28.38%
lib/Backend/JITType.cpp                                                      60                19    68.33%          20                 3    85.00%          88                11    87.50%          28                 9    67.86%
lib/Backend/JITType.h                                                         2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                30    44.44%           9                 1    88.89%          39                 7    82.05%          18                12    33.33%
lib/Backend/JavascriptNativeOperators.cpp                                   446               253    43.27%          27                17    37.04%         327               152    53.52%         152                76    50.00%
lib/Backend/JavascriptNativeOperators.h                                      77                55    28.57%           9                 3    66.67%          73                42    42.47%          24                19    20.83%
lib/Backend/JitTransferData.cpp                                              82                39    52.44%           5                 0   100.00%          88                27    69.32%          40                22    45.00%
lib/Backend/JitTransferData.h                                                19                 3    84.21%          13                 2    84.62%          27                 5    81.48%           4                 1    75.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4968    39.39%          11                 4    63.64%         223               167    25.11%        1714              1285    25.03%
lib/Backend/Lifetime.h                                                      184                95    48.37%           7                 0   100.00%          82                 4    95.12%          56                23    58.93%
lib/Backend/LinearScan.cpp                                                 6660              3489    47.61%         114                 8    92.98%        3796               675    82.22%        2506              1107    55.83%
lib/Backend/LinearScan.h                                                      5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             17142    37.81%         533               106    80.11%       19526              5662    71.00%       11116              6002    46.01%
lib/Backend/Lower.h                                                          17                 4    76.47%          10                 1    90.00%          35                 3    91.43%           8                 6    25.00%
lib/Backend/LowerMDShared.cpp                                              8221              5670    31.03%         170                50    70.59%        5086              2036    59.97%        3232              1997    38.21%
lib/Backend/LowerMDShared.h                                                  18                 3    83.33%          18                 3    83.33%          25                 3    88.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                82    12.77%
