Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             11216    49.11%         294                37    87.41%       13911              3269    76.50%       11310              4858    57.05%
lib/Backend/GlobOpt.h                                                       215               106    50.70%          50                 8    84.00%         130                17    86.92%          52                30    42.31%
lib/Backend/GlobOptArrays.cpp                                              2828              1466    48.16%          19                 0   100.00%        1599               142    91.12%        1276               540    57.68%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1188    50.06%          36                 3    91.67%        1303               140    89.26%         996               402    59.64%
lib/Backend/GlobOptBlockData.cpp                                           1708               732    57.14%          49                 5    89.80%        1309               224    82.89%         716               281    60.75%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                14    50.00%
lib/Backend/GlobOptExpr.cpp                                                 711               319    55.13%          11                 2    81.82%         730               199    72.74%         522               167    68.01%
lib/Backend/GlobOptFields.cpp                                              2603              1250    51.98%          59                 9    84.75%        1632               327    79.96%        1308               509    61.09%
lib/Backend/GlobOptIntBounds.cpp                                           6030              3545    41.21%          40                 3    92.50%        2576               609    76.36%        2168              1303    39.90%
lib/Backend/GlobOptIntBounds.h                                              852               521    38.85%          42                 3    92.86%         167                11    93.41%         210               138    34.29%
lib/Backend/IR.cpp                                                         4642              2981    35.78%         223                61    72.65%        3396              1488    56.18%        2186              1317    39.75%
lib/Backend/IR.h                                                            309               160    48.22%          41                 2    95.12%         237                35    85.23%          96                49    48.96%
lib/Backend/IR.inl                                                          639               363    43.19%          63                 4    93.65%         313                21    93.29%         198                98    50.51%
lib/Backend/IRBuilder.cpp                                                  8933              5496    38.48%         198                29    85.35%        5750              1364    76.28%        3626              1761    51.43%
lib/Backend/IRBuilder.h                                                     151                84    44.37%          14                 0   100.00%          53                 0   100.00%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                64    20.00%          12                 4    66.67%          48                32    33.33%          32                17    46.88%
lib/Backend/InductionVariable.cpp                                           347               190    45.24%          13                 0   100.00%         134                47    64.93%         136                78    42.65%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              3441    39.59%          90                15    83.33%        4658              1549    66.75%        2558              1424    44.33%
lib/Backend/Inline.h                                                          6                 2    66.67%           4                 2    50.00%           4                 2    50.00%           4                 0   100.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               239    47.36%          19                 4    78.95%         390                87    77.69%         194               103    46.91%
lib/Backend/InlineeFrameInfo.h                                              108                43    60.19%          13                 1    92.31%          62                11    82.26%          24                14    41.67%
lib/Backend/InliningDecider.cpp                                            1127               508    54.92%          21                 0   100.00%         689               132    80.84%         582               237    59.28%
lib/Backend/InliningDecider.h                                                18                 2    88.89%           8                 0   100.00%          21                 3    85.71%          10                 2    80.00%
lib/Backend/InliningHeuristics.cpp                                          145                44    69.66%           5                 0   100.00%         125                29    76.80%          72                26    63.89%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 3    62.50%
lib/Backend/IntBounds.cpp                                                  1138               545    52.11%          50                 1    98.00%         566                39    93.11%         444               180    59.46%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                29    44.23%           9                 2    77.78%          50                16    68.00%          44                25    43.18%
lib/Backend/IntConstantBounds.h                                              35                14    60.00%          11                 2    81.82%          44                11    75.00%          12                 5    58.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                48    44.83%           9                 0   100.00%          30                 0   100.00%          16                12    25.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               265    26.18%          22                11    50.00%         264                97    63.26%         104                81    22.12%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                59    50.42%          28                 9    67.86%         128                35    72.66%          26                16    38.46%
lib/Backend/JITRecyclableObject.h                                            68                39    42.65%          10                 2    80.00%          42                13    69.05%          14                10    28.57%
lib/Backend/JITTimeConstructorCache.cpp                                     144                94    34.72%          18                 3    83.33%          86                15    82.56%          28                22    21.43%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               731    38.42%         123                24    80.49%         753               168    77.69%         310               200    35.48%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 3    50.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                40    56.04%           6                 1    83.33%          67                 6    91.04%          26                10    61.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               244    59.40%          63                 3    95.24%         422                17    95.97%         192                81    57.81%
lib/Backend/JITTimeWorkItem.cpp                                             257               174    32.30%          20                 1    95.00%         112                19    83.04%          74                50    32.43%
lib/Backend/JITType.cpp                                                      60                19    68.33%          20                 3    85.00%          88                11    87.50%          28                 9    67.86%
lib/Backend/JITType.h                                                         2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                27    50.00%           9                 1    88.89%          39                 3    92.31%          18                 9    50.00%
lib/Backend/JavascriptNativeOperators.cpp                                   446               256    42.60%          27                16    40.74%         327               165    49.54%         152                84    44.74%
lib/Backend/JavascriptNativeOperators.h                                      77                55    28.57%           9                 3    66.67%          73                42    42.47%          24                19    20.83%
lib/Backend/JitTransferData.cpp                                              82                43    47.56%           5                 1    80.00%          88                35    60.23%          40                23    42.50%
lib/Backend/JitTransferData.h                                                19                 3    84.21%          13                 2    84.62%          27                 5    81.48%           4                 1    75.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4965    39.43%          11                 4    63.64%         223               161    27.80%        1714              1281    25.26%
lib/Backend/Lifetime.h                                                      184                95    48.37%           7                 0   100.00%          82                 4    95.12%          56                23    58.93%
lib/Backend/LinearScan.cpp                                                 6660              3479    47.76%         114                 8    92.98%        3796               655    82.74%        2506              1103    55.99%
lib/Backend/LinearScan.h                                                      5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             16446    40.34%         533                89    83.30%       19526              4615    76.36%       11116              5568    49.91%
lib/Backend/Lower.h                                                          17                 4    76.47%          10                 1    90.00%          35                 3    91.43%           8                 6    25.00%
lib/Backend/LowerMDShared.cpp                                              8221              5530    32.73%         170                45    73.53%        5086              1789    64.83%        3232              1883    41.74%
lib/Backend/LowerMDShared.h                                                  18                 3    83.33%          18                 3    83.33%          25                 3    88.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
