Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             13437    39.04%         294                57    80.61%       13911              5470    60.68%       11310              6405    43.37%
lib/Backend/GlobOpt.h                                                       215               107    50.23%          50                 9    82.00%         130                23    82.31%          52                31    40.38%
lib/Backend/GlobOptArrays.cpp                                              2828              1716    39.32%          19                 0   100.00%        1599               449    71.92%        1276               725    43.18%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1329    44.14%          36                 4    88.89%        1303               253    80.58%         996               484    51.41%
lib/Backend/GlobOptBlockData.cpp                                           1708               881    48.42%          49                 7    85.71%        1309               367    71.96%         716               375    47.63%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                15    46.43%
lib/Backend/GlobOptExpr.cpp                                                 711               335    52.88%          11                 2    81.82%         730               232    68.22%         522               205    60.73%
lib/Backend/GlobOptFields.cpp                                              2603              1441    44.64%          59                10    83.05%        1632               521    68.08%        1308               665    49.16%
lib/Backend/GlobOptIntBounds.cpp                                           6030              4414    26.80%          40                10    75.00%        2576              1495    41.96%        2168              1664    23.25%
lib/Backend/GlobOptIntBounds.h                                              852               635    25.47%          42                18    57.14%         167                72    56.89%         210               158    24.76%
lib/Backend/IR.cpp                                                         4642              3172    31.67%         223                71    68.16%        3396              1712    49.59%        2186              1431    34.54%
lib/Backend/IR.h                                                            309               198    35.92%          41                12    70.73%         237               101    57.38%          96                62    35.42%
lib/Backend/IR.inl                                                          639               417    34.74%          63                12    80.95%         313                83    73.48%         198               120    39.39%
lib/Backend/IRBuilder.cpp                                                  8933              6660    25.44%         198                82    58.59%        5750              3030    47.30%        3626              2345    35.33%
lib/Backend/IRBuilder.h                                                     151                84    44.37%          14                 0   100.00%          53                 0   100.00%          34                21    38.24%
