Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             22041     0.00%         294               294     0.00%       13911             13911     0.00%       11310             11310     0.00%
lib/Backend/GlobOpt.h                                                       215               215     0.00%          50                50     0.00%         130               130     0.00%          52                52     0.00%
lib/Backend/GlobOptArrays.cpp                                              2828              2828     0.00%          19                19     0.00%        1599              1599     0.00%        1276              1276     0.00%
lib/Backend/GlobOptArrays.h                                                  18                18     0.00%           1                 1     0.00%           3                 3     0.00%           4                 4     0.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              2379     0.00%          36                36     0.00%        1303              1303     0.00%         996               996     0.00%
lib/Backend/GlobOptBlockData.cpp                                           1708              1708     0.00%          49                49     0.00%        1309              1309     0.00%         716               716     0.00%
lib/Backend/GlobOptBlockData.h                                              110               110     0.00%          20                20     0.00%          69                69     0.00%          28                28     0.00%
lib/Backend/GlobOptExpr.cpp                                                 711               697     1.97%          11                10     9.09%         730               717     1.78%         522               513     1.72%
lib/Backend/GlobOptFields.cpp                                              2603              2603     0.00%          59                59     0.00%        1632              1632     0.00%        1308              1308     0.00%
lib/Backend/GlobOptIntBounds.cpp                                           6030              6030     0.00%          40                40     0.00%        2576              2576     0.00%        2168              2168     0.00%
lib/Backend/GlobOptIntBounds.h                                              852               852     0.00%          42                42     0.00%         167               167     0.00%         210               210     0.00%
lib/Backend/IR.cpp                                                         4642              4642     0.00%         223               223     0.00%        3396              3396     0.00%        2186              2186     0.00%
lib/Backend/IR.h                                                            309               309     0.00%          41                41     0.00%         237               237     0.00%          96                96     0.00%
lib/Backend/IR.inl                                                          639               639     0.00%          63                63     0.00%         313               313     0.00%         198               198     0.00%
lib/Backend/IRBuilder.cpp                                                  8933              8933     0.00%         198               198     0.00%        5750              5750     0.00%        3626              3626     0.00%
lib/Backend/IRBuilder.h                                                     151               151     0.00%          14                14     0.00%          53                53     0.00%          34                34     0.00%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                80     0.00%          12                12     0.00%          48                48     0.00%          32                32     0.00%
lib/Backend/InductionVariable.cpp                                           347               347     0.00%          13                13     0.00%         134               134     0.00%         136               136     0.00%
lib/Backend/InductionVariable.h                                               1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              5696     0.00%          90                90     0.00%        4658              4658     0.00%        2558              2558     0.00%
lib/Backend/Inline.h                                                          6                 6     0.00%           4                 4     0.00%           4                 4     0.00%           4                 4     0.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               454     0.00%          19                19     0.00%         390               390     0.00%         194               194     0.00%
lib/Backend/InlineeFrameInfo.h                                              108               108     0.00%          13                13     0.00%          62                62     0.00%          24                24     0.00%
lib/Backend/InliningDecider.cpp                                            1127              1127     0.00%          21                21     0.00%         689               689     0.00%         582               582     0.00%
lib/Backend/InliningDecider.h                                                18                18     0.00%           8                 8     0.00%          21                21     0.00%          10                10     0.00%
lib/Backend/InliningHeuristics.cpp                                          145               145     0.00%           5                 5     0.00%         125               125     0.00%          72                72     0.00%
lib/Backend/InliningHeuristics.h                                             10                10     0.00%           2                 2     0.00%           6                 6     0.00%           8                 8     0.00%
lib/Backend/IntBounds.cpp                                                  1138              1138     0.00%          50                50     0.00%         566               566     0.00%         444               444     0.00%
lib/Backend/IntBounds.h                                                       1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                52     0.00%           9                 9     0.00%          50                50     0.00%          44                44     0.00%
lib/Backend/IntConstantBounds.h                                              35                35     0.00%          11                11     0.00%          44                44     0.00%          12                12     0.00%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                87     0.00%           9                 9     0.00%          30                30     0.00%          16                16     0.00%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               273    23.96%          22                13    40.91%         264               107    59.47%         104                82    21.15%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119               119     0.00%          28                28     0.00%         128               128     0.00%          26                26     0.00%
lib/Backend/JITRecyclableObject.h                                            68                68     0.00%          10                10     0.00%          42                42     0.00%          14                14     0.00%
lib/Backend/JITTimeConstructorCache.cpp                                     144               144     0.00%          18                18     0.00%          86                86     0.00%          28                28     0.00%
lib/Backend/JITTimeFunctionBody.cpp                                        1187              1187     0.00%         123               123     0.00%         753               753     0.00%         310               310     0.00%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 6     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                91     0.00%           6                 6     0.00%          67                67     0.00%          26                26     0.00%
lib/Backend/JITTimeProfileInfo.cpp                                          601               601     0.00%          63                63     0.00%         422               422     0.00%         192               192     0.00%
lib/Backend/JITTimeWorkItem.cpp                                             257               257     0.00%          20                20     0.00%         112               112     0.00%          74                74     0.00%
lib/Backend/JITType.cpp                                                      60                60     0.00%          20                20     0.00%          88                88     0.00%          28                28     0.00%
lib/Backend/JITType.h                                                         2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                54     0.00%           9                 9     0.00%          39                39     0.00%          18                18     0.00%
lib/Backend/JavascriptNativeOperators.cpp                                   446               446     0.00%          27                27     0.00%         327               327     0.00%         152               152     0.00%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                82     0.00%           5                 5     0.00%          88                88     0.00%          40                40     0.00%
lib/Backend/JitTransferData.h                                                19                19     0.00%          13                13     0.00%          27                27     0.00%           4                 4     0.00%
lib/Backend/JnHelperMethod.cpp                                             8197              5006    38.93%          11                10     9.09%         223               217     2.69%        1714              1321    22.93%
lib/Backend/Lifetime.h                                                      184               184     0.00%           7                 7     0.00%          82                82     0.00%          56                56     0.00%
lib/Backend/LinearScan.cpp                                                 6660              6660     0.00%         114               114     0.00%        3796              3796     0.00%        2506              2506     0.00%
lib/Backend/LinearScan.h                                                      5                 5     0.00%           5                 5     0.00%           7                 7     0.00%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             27565     0.00%         533               533     0.00%       19526             19526     0.00%       11116             11116     0.00%
lib/Backend/Lower.h                                                          17                17     0.00%          10                10     0.00%          35                35     0.00%           8                 8     0.00%
lib/Backend/LowerMDShared.cpp                                              8221              8221     0.00%         170               170     0.00%        5086              5086     0.00%        3232              3232     0.00%
lib/Backend/LowerMDShared.h                                                  18                17     5.56%          18                17     5.56%          25                24     4.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              9537     0.00%          52                52     0.00%        2398              2398     0.00%        2730              2730     0.00%
lib/Backend/NativeCodeData.cpp                                              328               328     0.00%          15                15     0.00%         228               228     0.00%          94                94     0.00%
lib/Backend/NativeCodeData.h                                                 67                67     0.00%          16                16     0.00%          79                79     0.00%          20                20     0.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              3467     9.19%          79                58    26.58%        2794              2469    11.63%        1566              1474     5.87%
lib/Backend/NativeCodeGenerator.h                                           116                85    26.72%          19                10    47.37%          87                52    40.23%          32                26    18.75%
lib/Backend/NativeEntryPointData.cpp                                        990               990     0.00%          45                45     0.00%         376               376     0.00%         256               256     0.00%
lib/Backend/NativeEntryPointData.h                                           22                22     0.00%          19                19     0.00%          19                19     0.00%           2                 2     0.00%
lib/Backend/ObjTypeSpecFldInfo.cpp                                         1601              1601     0.00%          56                56     0.00%         901               901     0.00%         608               608     0.00%
lib/Backend/ObjTypeSpecFldInfo.h                                             76                76     0.00%          13                13     0.00%         102               102     0.00%          32                32     0.00%
lib/Backend/Opnd.cpp                                                       3591              3591     0.00%         183               183     0.00%        2560              2560     0.00%        1464              1464     0.00%
lib/Backend/Opnd.h                                                         1531              1531     0.00%         200               200     0.00%         640               640     0.00%         488               488     0.00%
lib/Backend/Opnd.inl                                                        477               477     0.00%          64                64     0.00%         249               249     0.00%         122               122     0.00%
lib/Backend/PDataManager.cpp                                                  4                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/Peeps.cpp                                                      1033              1033     0.00%          15                15     0.00%         892               892     0.00%         632               632     0.00%
lib/Backend/Peeps.h                                                           1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/PreLowerPeeps.cpp                                               445               445     0.00%           5                 5     0.00%         331               331     0.00%         212               212     0.00%
lib/Backend/PrologEncoder.cpp                                               101                98     2.97%           7                 4    42.86%          72                57    20.83%          30                30     0.00%
lib/Backend/PrologEncoder.h                                                   6                 5    16.67%           6                 5    16.67%           6                 5    16.67%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                19     0.00%           2                 2     0.00%           6                 6     0.00%           4                 4     0.00%
lib/Backend/Region.cpp                                                      117               117     0.00%           5                 5     0.00%          75                75     0.00%          48                48     0.00%
lib/Backend/Region.h                                                         27                27     0.00%          19                19     0.00%          32                32     0.00%           8                 8     0.00%
lib/Backend/SccLiveness.cpp                                                1037              1037     0.00%          21                21     0.00%         697               697     0.00%         454               454     0.00%
lib/Backend/SccLiveness.h                                                     7                 7     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               471     0.00%          13                13     0.00%         444               444     0.00%         248               248     0.00%
