Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/GlobOpt.cpp                                                   22041             17673    19.82%         294               111    62.24%       13911              9734    30.03%       11310              9000    20.42%
lib/Backend/GlobOpt.h                                                       215               136    36.74%          50                19    62.00%         130                58    55.38%          52                41    21.15%
lib/Backend/GlobOptArrays.cpp                                              2828              2062    27.09%          19                 1    94.74%        1599               854    46.59%        1276               992    22.26%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1691    28.92%          36                 7    80.56%        1303               580    55.49%         996               693    30.42%
lib/Backend/GlobOptBlockData.cpp                                           1708              1175    31.21%          49                19    61.22%        1309               661    49.50%         716               534    25.42%
lib/Backend/GlobOptBlockData.h                                              110                55    50.00%          20                 4    80.00%          69                15    78.26%          28                17    39.29%
lib/Backend/GlobOptExpr.cpp                                                 711               540    24.05%          11                 2    81.82%         730               498    31.78%         522               356    31.80%
lib/Backend/GlobOptFields.cpp                                              2603              2152    17.33%          59                27    54.24%        1632              1222    25.12%        1308              1089    16.74%
lib/Backend/GlobOptIntBounds.cpp                                           6030              4989    17.26%          40                20    50.00%        2576              1970    23.52%        2168              1886    13.01%
lib/Backend/GlobOptIntBounds.h                                              852               700    17.84%          42                26    38.10%         167               103    38.32%         210               185    11.90%
lib/Backend/IR.cpp                                                         4642              3616    22.10%         223               105    52.91%        3396              2231    34.31%        2186              1731    20.81%
lib/Backend/IR.h                                                            309               215    30.42%          41                21    48.78%         237               139    41.35%          96                69    28.12%
lib/Backend/IR.inl                                                          639               458    28.33%          63                15    76.19%         313               113    63.90%         198               133    32.83%
lib/Backend/IRBuilder.cpp                                                  8933              7860    12.01%         198               129    34.85%        5750              4556    20.77%        3626              2947    18.73%
lib/Backend/IRBuilder.h                                                     151                86    43.05%          14                 2    85.71%          53                 4    92.45%          34                21    38.24%
lib/Backend/IRBuilderAsmJs.cpp                                            10315             10315     0.00%         299               299     0.00%        4833              4833     0.00%        3720              3720     0.00%
lib/Backend/IRBuilderAsmJs.h                                                188               188     0.00%          23                23     0.00%          58                58     0.00%          44                44     0.00%
lib/Backend/IRType.cpp                                                       80                66    17.50%          12                 6    50.00%          48                34    29.17%          32                19    40.62%
lib/Backend/InductionVariable.cpp                                           347               290    16.43%          13                 5    61.54%         134               102    23.88%         136               126     7.35%
lib/Backend/InductionVariable.h                                               1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Inline.cpp                                                     5696              5156     9.48%          90                71    21.11%        4658              4003    14.06%        2558              2323     9.19%
lib/Backend/Inline.h                                                          6                 2    66.67%           4                 2    50.00%           4                 2    50.00%           4                 2    50.00%
lib/Backend/InlineeFrameInfo.cpp                                            454               375    17.40%          19                12    36.84%         390               283    27.44%         194               172    11.34%
lib/Backend/InlineeFrameInfo.h                                              108                53    50.93%          13                 4    69.23%          62                20    67.74%          24                16    33.33%
lib/Backend/InliningDecider.cpp                                            1127               815    27.68%          21                 5    76.19%         689               490    28.88%         582               490    15.81%
lib/Backend/InliningDecider.h                                                18                 7    61.11%           8                 4    50.00%          21                10    52.38%          10                 6    40.00%
lib/Backend/InliningHeuristics.cpp                                          145                70    51.72%           5                 1    80.00%         125                66    47.20%          72                49    31.94%
lib/Backend/InliningHeuristics.h                                             10                 1    90.00%           2                 0   100.00%           6                 0   100.00%           8                 4    50.00%
lib/Backend/IntBounds.cpp                                                  1138               828    27.24%          50                17    66.00%         566               317    43.99%         444               334    24.77%
lib/Backend/IntBounds.h                                                       1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/IntConstMath.cpp                                                 52                46    11.54%           9                 7    22.22%          50                38    24.00%          44                37    15.91%
lib/Backend/IntConstantBounds.h                                              35                23    34.29%          11                 4    63.64%          44                23    47.73%          12                11     8.33%
lib/Backend/IntOverflowDoesNotMatterRange.h                                  87                55    36.78%           9                 1    88.89%          30                 4    86.67%          16                13    18.75%
lib/Backend/InterpreterThunkEmitter.cpp                                     359               272    24.23%          22                12    45.45%         264               102    61.36%         104                82    21.15%
lib/Backend/InterpreterThunkEmitter.h                                        41                26    36.59%           6                 2    66.67%          11                 4    63.64%           8                 6    25.00%
lib/Backend/JITOutput.cpp                                                   119                75    36.97%          28                12    57.14%         128                46    64.06%          26                18    30.77%
lib/Backend/JITRecyclableObject.h                                            68                63     7.35%          10                 7    30.00%          42                31    26.19%          14                13     7.14%
lib/Backend/JITTimeConstructorCache.cpp                                     144               143     0.69%          18                17     5.56%          86                83     3.49%          28                28     0.00%
lib/Backend/JITTimeFunctionBody.cpp                                        1187               910    23.34%         123                64    47.97%         753               365    51.53%         310               244    21.29%
lib/Backend/JITTimeFunctionBody.h                                            92                92     0.00%           2                 2     0.00%          32                32     0.00%          20                20     0.00%
lib/Backend/JITTimePolymorphicInlineCache.cpp                                 6                 6     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
lib/Backend/JITTimePolymorphicInlineCacheInfo.cpp                            91                79    13.19%           6                 3    50.00%          67                46    31.34%          26                23    11.54%
lib/Backend/JITTimeProfileInfo.cpp                                          601               363    39.60%          63                25    60.32%         422               124    70.62%         192               122    36.46%
lib/Backend/JITTimeWorkItem.cpp                                             257               180    29.96%          20                 1    95.00%         112                26    76.79%          74                57    22.97%
lib/Backend/JITType.cpp                                                      60                52    13.33%          20                14    30.00%          88                55    37.50%          28                27     3.57%
lib/Backend/JITType.h                                                         2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
lib/Backend/JITTypeHandler.cpp                                               54                54     0.00%           9                 9     0.00%          39                39     0.00%          18                18     0.00%
lib/Backend/JavascriptNativeOperators.cpp                                   446               446     0.00%          27                27     0.00%         327               327     0.00%         152               152     0.00%
lib/Backend/JavascriptNativeOperators.h                                      77                77     0.00%           9                 9     0.00%          73                73     0.00%          24                24     0.00%
lib/Backend/JitTransferData.cpp                                              82                58    29.27%           5                 2    60.00%          88                61    30.68%          40                28    30.00%
lib/Backend/JitTransferData.h                                                19                 8    57.89%          13                 4    69.23%          27                10    62.96%           4                 3    25.00%
lib/Backend/JnHelperMethod.cpp                                             8197              4978    39.27%          11                 5    54.55%         223               186    16.59%        1714              1294    24.50%
lib/Backend/Lifetime.h                                                      184               136    26.09%           7                 3    57.14%          82                49    40.24%          56                42    25.00%
lib/Backend/LinearScan.cpp                                                 6660              4932    25.95%         114                37    67.54%        3796              2124    44.05%        2506              1849    26.22%
lib/Backend/LinearScan.h                                                      5                 1    80.00%           5                 1    80.00%           7                 1    85.71%           0                 0         -
lib/Backend/LinearScanMDShared.h                                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/Lower.cpp                                                     27565             25549     7.31%         533               449    15.76%       19526             17535    10.20%       11116              9993    10.10%
lib/Backend/Lower.h                                                          17                11    35.29%          10                 6    40.00%          35                16    54.29%           8                 7    12.50%
lib/Backend/LowerMDShared.cpp                                              8221              7425     9.68%         170               126    25.88%        5086              4368    14.12%        3232              2849    11.85%
lib/Backend/LowerMDShared.h                                                  18                15    16.67%          18                15    16.67%          25                21    16.00%           0                 0         -
lib/Backend/LowerMDSharedSimd128.cpp                                       9537              7379    22.63%          52                51     1.92%        2398              2251     6.13%        2730              2586     5.27%
lib/Backend/NativeCodeData.cpp                                              328               282    14.02%          15                 7    53.33%         228               154    32.46%          94                83    11.70%
lib/Backend/NativeCodeData.h                                                 67                58    13.43%          16                10    37.50%          79                54    31.65%          20                17    15.00%
lib/Backend/NativeCodeGenerator.cpp                                        3818              2748    28.03%          79                37    53.16%        2794              1672    40.16%        1566              1227    21.65%
